_N,Country,Level,Year,Start_date,End_date,Subgroup_of_Hazards,Main_Type_of_Hazard,Hazard,Health_consequences,Scale,Geographical_Area,Exposure,Frequency,Seasonality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Likelihood,Severity,Vulnerability,Vulnerability_Details,Coping_capacity,Coping_capacity_details,Governance_and_Resouces,Health_Sector_Capacity,Non_Health_Sector_Capcity,Commuty_Capacity,Resources,Impact,Confidence_level,Risk_level,Risk_level_Number,Status
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Yellow fever,"(1) Fever, muscle pain with prominent backache, headache, loss of appetite, and nausea or vomiting
(2) A small percentage of patients enter a second toxic phase with high fever, jaundice, dark urine, abdominal pain with vomiting 
(3) Bleeding can occur from the mouth, nose, eyes or stomach
(4) 50% of patients in the second phase die within 7-10 days",Sub-National,"North Western,Western"," 1. 789,570 population at risk of contracting yellow fever from NorthWestern and westtern provinces ( ikelenge, mwinilunga, kalumbila, solwezi, mushindamo, sikongo, mitete, kalabo and shangombo) ",Random,No,,,,,,,,,,,,,Very unlikely,Low,Low,"• Cross border movement 
• Low vaccination coverage",High,,"Governance 
• Multisectoral Coordination in place • Functional EOC•Provinsional of emergency funds • Political will
Resource
• Provisiona of an emergence funds • Availability of comodities such as vacines • Available marine transport sitting with other sectors •Partner support for response • Laboratory capacity "," • Inter-Agency Coordination Committee • Functuional EPI System•Functional Surveillance System•Availability of policies, guidelines and standards ",• Human resource  • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),,Minor,Satisfactory,Very low,1,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Anthrax,"(1) Cutaneous: Cutaneous anthrax accounts for > 95% of human cases worldwide. The lesions (eschars) are generally found on exposed regions of the body almost invariably accompanied by marked oedema extending some distance from the lesion
(2) Oro-pharyngeal: Sore throat, dysphagia and regional lymphadenopathy are
the early clinical features associated with oropharyngeal anthrax, with development of extensive oedematous swelling of the neck and anterior chest wall. 
(3) Gatrointestinal: Symptoms of gastrointestinal anthrax are initially nonspecific and
include nausea, vomiting, anorexia, mild diarrhoea and fever. These may be mild but are occasionally severe, progressing to haematemesis, bloody diarrhoea and massive ascites.",Sub-National,"Eastern,North Western,Western","  1. 1,437, 887 susceptible ( western province and chama from eastern province  ",Perennial,Yes,1,1,1,1,1,1,1,3,4,4,4,3,Almost sure,Low,High,"• High illeteracy levels 
• High poverty levels 
• Low risk perception  
• Inadequate sensitization to high risk population 
• Poor desposal mechanism of carcasses
• Low vaccination coverage in animals 
• Presence of Anthrax in the ground 
. Human-livestock-wildlife-interface areas",Partial,,• Multisectoral Coordination in place,"• Inter-Agency Coordination Committee (Epidemic Preparedness Committee)• Functional Surveillance System•In country animal vaccine production • Laboratory capacity for diagnosis, confirmation and serotyping",• Human resource • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),• Provision of an emergence funds • Availability of comodities such as vacines  • Available marine transport sitting with other sectors •Partner support for response ,Moderate,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Monkeypox,"(1) Invasion period (0-5 days): Fever, intense headache, lymphadenopathy (swelling of lymph nodes), back pain, myalgia (muscle aches) , intense asthenia (lack of energy); 

(2) Skin eruption (usually within 1-3 days of fever; the rash tends to be more concentrated on the face and extremities rather than on the trunk.; 
(3) Death rates varied between 0-11%",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western"," 1. 19,000,000 population at risk of sufferring from monkey pox ",Random,No,,,,,,,,,,,,,Probable,Very low,Low,"• Cross border movement 
• Insulficient vaccine coverage for smallpox - proxy for monkeypox 
• Inadequate knowlegde of high risk population (MSMs)
. Stigmatization and discrimination of the high risk population  
• Inadequate capacity to diagnose large scale outbreak (more than 100 cases)
• 
•",Partial,,"• Multisectoral Coordination mechanisms in place • Functional EOC, Political will","• Inter-Agency Coordination Mechanism, Functional Surveillance System",• Human resource relevant to emergency preparendess and recovery • Media Houses for awareness available ,• Human resource • Media Houses for awareness available ,• Provisiona of an emergence fund provided for by law • Partner support for response • Laboratory capacity for diagnosis,Minor,Satisfactory,Low,2,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Pneumonic plague,"(1) Fever, chills, head and body aches, and weakness, vomiting and nausea, (2) In Bubonic plague, the lymph node becomes inflamed, tense and painful, and is called a bubo. This can turn into suppurating open sores (3) A person with secondary pneumonic plague may form aerosolized infective droplets and transmit plague to other humans. This is usually fatal.",Sub-National,"Eastern,Southern"," 1. 463903  population at risk ( namwala, sinda and nyimba) ",Frequent,Yes,4,4,4,1,1,1,1,1,1,4,4,4,Probable,High,High,"• High illeteracy levels 
• High poverty levels 
• Low risk perception  
• Inadequate sensitization to high risk population 
• Poor desposal mechanism of rodents
• Overcrowding 
• Hunting and consumption of rodents 
",Low,,• Multisectoral Coordination Mechanisms in place,"• Inter-Agency Coordination mechanisms e.g. (Epidemic Preparedness Committee)• Functional Surveillance System•Laboratory capacity for diagnosis, confirmation and serotyping",• Media Houses for awareness available , • Availability of community stractures to support response activities (Traditional Authority etc),• Legal provisiona of an emergence funds,Severe,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Rabies,"(1) Early symptoms of a rabies infection can include a fever with pain and unusual or unexplained tingling, pricking or burning sensation (paraesthesia) at the wound site.
(2) Furious rabies causes signs of hyperactivity, excitable behaviour, hydrophobia (fear of water) and sometimes aerophobia (fear of drafts or of fresh air). Death occurs after a few days due to cardio-respiratory arrest. the case fatality rate for rabies is almost 100%
(3) Paralytic rabies runs a less dramatic and usually longer course than the furious form. Muscles gradually become paralysed, starting at the site of the bite or scratch. A coma slowly develops and eventually death occurs",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western"," 1. 19,000,000 population at risk ",Perennial,Yes,2,4,4,3,2,2,2,3,4,4,3,2,Very likely,Very High,High,"• High poverty levels 
• Low risk perception 
• Inadequate sensitization to high risk population 
• Low vaccination coverage in animals 
. Human-livestock-wildlife-interface areas
• High illeteracy levels 
• High population of stray dogs 
• Poor legal enforcement of dog regislation 
• Poor multi sectoral collaboration
. High cost if anti rabies PEP",Partial,,•Multisectoral Coordination Mechanism in place (Zoonosis Working Technical Group),•Functional Surveillance System• Laboratory capacity for diagnosis and confirmation • Presence of partners helping with rabies surveillance and vaccination ,• Media Houses for awareness available•Presence of Department of National Parks and Wldlife and ZP ,•Presence of community structures to help with contact tracing and stray dogs ,•Partner support for response ,Severe,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Cholera/ Acute Watery Diarrhea,"(1) acute watery diarrhea,""rice-water stools""
(2) vomiting, restlessness, thirst, restlessness
(3) Dehydration (moderate to severe); which can lead to shock and death, 
(4) Increased hospitalizations further stretching health services at primary and secondary levels
(5) Socio-economic losses",Sub-National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western","1. 16,177913 unvaccinated population, 1year and above in all provinces ",Perennial,Yes,4,4,4,3,2,2,1,1,1,2,3,4,Very likely,Very High,Very high,"• Hard to reach population for vaccination
• Unplanned settlement
• Poor WASHE infrastructure 
• Poverty",High,,• Multisectoral Coordination Mechanism in place • Functional EOC • Provinsional of emergency funds • High Level political will,"• Inter-Agency Coordination mechanisms • Functuional EPI System • Functional Surveillance System• Trained RRT at all levels• Availability of policies, guidelines and standards for cholera (MNCEP)•Availability of Cholera Elimination Plan ",• Human resource •  Availibility of DMMU • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),"• Provisiona of an emergence funds • Availability of comodities such as vacines •Available marine transport sitting with other sectors 
• Partner support for cholera response • Laboratory capacity",Severe,Good,High,4,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,Poliomyelitis,"
(1) 1 in 200 infections lead to irreversible paralysis
(2) Fever, fatigue, headache, vomiting, stiffness of the neck and pain in the limbs, paralysis, Muscle fatigue and pain, postural abnormalities (scoliosis and kyphosis). 
(3) Increasing weakness due to overuse and ankle equinus, breathing problems, death,",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western"," 1. 509,200, under five children unvaccinated ",Rare,No,,,,,,,,,,,,,Very likely,Moderate,Low,"• Hard to reach population due to distance 
• Hard to reach population due to religiuos beliefs
• Cross border transmission ",High,,• Multisectoral Coordination mechanisms in place • Functional EOC• Provinsional of emergency funds • Political will,"• Inter-Agency Coordination mechanisms • Functuional EPI System • Functional Surveillance System•Trained RRT at all levels• Availability of policies, guidelines and standards to",• Human resource • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),• Provisiona of an emergence funds • Availability of comodities such as vacines • Available marine transport sitting with other sectors ,Minor,Good,Moderate,3,1
46,Zambia,National,2022,7/25/2022,7/29/2022,Animal-human contact (Zoonosis),Biological,"VHF (Lassa, Marburg, Ebola, Crimea Congo)","(1) Initially fever, fatigue, muscle, pain, headache, and sore throat. 
(2) This is followed by vomiting, diarrhea, rash, symptoms of impaired kidney and liver function, and in some cases internal and external bleeding (e.g. oozing from the gums, blood in the stools)
(3) Increased socio-economic disruptions (4) Increased burden on health system (5) The average EVD case fatality rate is around 50%. Case fatality rates have varied from 25% to 90% in past outbreaks.",National,"Central,Copperbelt,Eastern,Luapula,Lusaka,Muchinga,North Western,Northern,Southern,Western","   1. 1,613,697 population susceptible to VHF, districts bordering with DRC ",Random,No,,,,,,,,,,,,,Probable,Very High,Partial,"• Cross border movement 
• Inadequate capacity to diagnose large scale outbreak)",Low,,"• Multisectoral Coordination mechanisms in place • Functional EOC, Political will", • Inter-Agency Coordination Mechanism•Functional Surveillance System,• Human resource relevant to emergency preparendess and recovery • Media Houses for awareness available ,• Availability of community stractures to support response activities (Traditional Authority etc),• Provisiona of an emergence fund provided for by law • Partner support for response •Laboratory capacity for diagnosis,Severe,Good,High,4,1
40,Sierra Leone,National,2022,5/9/2022,5/13/2022,Societal,Societal,"Acts of Violence (Bike riders, football hooliganism, domestic violence)","Large numbers of wounded - may overwhelm health workers
Disruption of health services delivery (e.g. health workers affected by violence/insecurity)
Supply chain disruption
Limited access to health facilities
Deaths
Psychosocial trauma",Local,AnyArea,100000,Random,No,,,,,,,,,,,,,Probable,Low,Low,"• Minimally affected health services, violence is usually short lived and on a smaller scale, HF not at risk of violence
• Health Status of population at risk: young men [youth] aged (18-35) and some women;  many are prone to drug abuse
• Passerbys can be indirectly affected: street traders, destitute and mentally ill persons on the streets 
• Live in overcrowded conditions; mainly occurs in cities
",Low,,"• Laws and policies are in place at national level and by-laws in communities; (policy in place for military aid to civil police); exercised and tested before. National and district plan/policy • Existing union for bike riders and motor drivers; (inclusive of Secretariat) •Available structures for law enforcement; Sierra Leone police provides security at football matches;  • Information sharing loose coordination (though splintered, not common table) ; separate planning for security and Ministry of Sports • For inter-school matches, Ministry of Basic Education is involved; Ministry of Internal Affairs (including police) • Ministry of Youth Affairs and Councils support to youths training for employment, livelihood; ","• Health Facilities: Some casualty management in place (small-scale); 
First Aid present at most sporting football matches (Red Cross); Ambulance sometimes present for sporting matches
Pyschosocial support for victims","•Prevention: National Civic Education and Development; civic education on rights and responsibilities;  • Religious Institutions, (Inter-Religious Council) , mediation efforts and broker peace within groups","• Social Media/community radios for communicating messages; awareness raising; communicate on the incident (real-time situation); WhatsApp and viral messaging
• Local chiefs to pacify situations ","•Health HR: Trained health personnel in emergencies and response; existing emergency unit (national and district), Health Facilities;  • FInancial resources for movement of drugs/supply from national stock to district and community, free supplies for victims •National Commission for Social Action (safety net) NaCSA ",Moderate,Good,Moderate,3,1
40,Sierra Leone,National,2022,5/9/2022,5/13/2022,Societal,Societal,"Conflits (Armed/Terrorism, Social-political, wildlife/man, Intercommunity, crop farmers/cattle herders, transhumance)","Large numbers of wounded - may overwhelm health workers
Disruption of health services delivery (e.g. health workers affected by violence/insecurity)
Limited access to health facilities
Deaths
Psychosocial trauma",Local,"Eastern,North Western,Northern,",100000,Perennial,Yes,1,3,4,4,3,1,1,1,1,1,1,1,Very likely,High,High,"• Source is competition over resources between cattle herders and crop farmers; major cause of drought/water source access or land disputes. 

Population at risk: cattle herders (nomads) and crop farmers + families;  Ethnic groups (e.g. Fullah + Kono);
Mostly illiterate; not yet implemented scheme/designation of land for herders

Access to care: Health workers are afraid and sometimes spillover of violence in health facility;
• Housing vulnerable is sometimes burned (thatched roofs burned) 
",Partial,,• Laws and policies are in place at national level and by-laws in communities; (policy in place for military aid to civil police); exercised and tested before. National and district plan/policy •Available structures for law enforcement; ONS and Sierra leone police provides security •Coordination between security sectors and line ministries,"Health Sector Capacities
• Health Facilities: Some casualty management in place (small-scale); 
• First Aid present during conflicts (Red Cross, MSF etc..); Ambulance sometimes present for conflict victims
Pyschosocial support for victims","•Prevention: National Civic Education and Development; civic education on rights and responsibilities; 
• Religious Institutions, (Inter-Religious Council) , mediation efforts and broker peace within groups
• The peace commission has been formed and approved by house of parliament
• Ministry Of Agriculture,Ministry of Social welfare, local government",• Social Media/community radios for communicating messages; awareness raising; communicate on the incident (real-time situation); WhatsApp and viral messaging • Local chiefs to pacify situations • community based organisation and local NGOs,"•Health HR: Trained health personnel in emergencies and response; existing emergency unit (national and district), Health Facilities, psychosocial, social mobilization, risk communication  •Financial resources from local NGOs
•National Commission for Social Action (safety net) NaCSA ",Severe,Satisfactory,High,4,1
40,Sierra Leone,National,2022,5/9/2022,5/13/2022,Societal,Societal,Social movements/civil unrest,"Large numbers of wounded - may overwhelm health workers
Disruption of health services delivery (e.g. health workers affected by violence/insecurity)
Supply chain disruption
Limited access to health facilities
Deaths
Psychosocial trauma",Local,AnyArea,100000,Random,No,,,,,,,,,,,,,Unlikely,High,Partial,"Vulnerability of Groups affected: 
- Young persons/rioters; majority men (unemployed, low income, drop out from schools, low literacy, drug addiction for majority); important to note that also older passer-byers in market place can also be injured as well as petty traders 

- Risk is mostly in cities (overcrowded conditions); Houses have been destroyed in the path of rioters; potential displacement of community. 

Health System Vulnerability
• Health workers can be threatened or difficult to get to hospital/health facility due to access. Can be Overwhelmed with situation/ affected by insecurity. 
",Low,,"• Laws and policies are in place at national level and by-laws in communities; (policy in place for military aid to civil police); exercised and tested before. National and district plan/policy
- cyber security laws in place •Available structures for law enforcement; ONS and Sierra leone police provides security 
Coordination between security sectors and line ministries","• Health Facilities: Some casualty management in place (small-scale); 
First Aid present during conflicts (Red Cross, MSF etc..); Ambulance sometimes present for conflict victims
Pyschosocial support for victims","•Prevention: National Civic Education and Development; civic education on rights and responsibilities; 
• Religious Institutions, (Inter-Religious Council) , mediation efforts and broker peace within groups
- The peace commission has been formed and approved by house of parliament
- Ministry Of Agriculture,Ministry of Social welfare, local government","• Social Media/community radios for communicating messages; awareness raising; communicate on the incident (real-time situation); WhatsApp and viral messaging
• Local chiefs to pacify situations 
- community based organisation and local NGOs
- Civil society organizations","•Health HR: Trained health personnel in emergencies and response; existing emergency unit (national and district), Health Facilities, psychosocial, social mobilization, risk communication ",Severe,Unsatisfactory,Moderate,3,1
