QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
6,coord_rvf_focal_point,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.01 - Identify and designate a National Focal Point / Incident Manager for RVF who will be responsible for coordinating and sharing information in a timley manner between public health and animal health sectors (and vector born programs) during the alert and outbreak control periods. (Multisectoral coordination mechanisms operational tool),0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,14,2.01 - Identify and designate a National Focal Point / Incident Manager for RVF who will be responsible for coordinating and sharing information in a timley manner between public health and animal health sectors (and vector born programs) during the alert and outbreak control periods. (Multisectoral coordination mechanisms operational tool)
6,coord_rvf_focal_point,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.01 - Identify and designate a National Focal Point / Incident Manager for RVF who will be responsible for coordinating and sharing information in a timley manner between public health and animal health sectors (and vector born programs) during the alert and outbreak control periods. (Multisectoral coordination mechanisms operational tool),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,14,2.01 - Identify and designate a National Focal Point / Incident Manager for RVF who will be responsible for coordinating and sharing information in a timley manner between public health and animal health sectors (and vector born programs) during the alert and outbreak control periods. (Multisectoral coordination mechanisms operational tool)
7,coord_incident_team_train,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.02 - Identify, train and designate Incident Manager and Incident Management Team. (WHO PHEOC Manual)",0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,17,"2.02 - Identify, train and designate Incident Manager and Incident Management Team. (WHO PHEOC Manual)"
7,coord_incident_team_train,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.02 - Identify, train and designate Incident Manager and Incident Management Team. (WHO PHEOC Manual)",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,17,"2.02 - Identify, train and designate Incident Manager and Incident Management Team. (WHO PHEOC Manual)"
8,coord_rvf_organigram,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.03 - Designate an IMS organigram for RVF at the national level. (WHO PHEOC Manual),0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,20,2.03 - Designate an IMS organigram for RVF at the national level. (WHO PHEOC Manual)
8,coord_rvf_organigram,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.03 - Designate an IMS organigram for RVF at the national level. (WHO PHEOC Manual),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,20,2.03 - Designate an IMS organigram for RVF at the national level. (WHO PHEOC Manual)
9,coord_national_taskforce,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.04 - Establish a national taskforce /committee to coordinate and implement national preparedness actions through technical subcommittees.,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,23,2.04 - Establish a national taskforce /committee to coordinate and implement national preparedness actions through technical subcommittees.
9,coord_national_taskforce,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,2.04 - Establish a national taskforce /committee to coordinate and implement national preparedness actions through technical subcommittees.,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,23,2.04 - Establish a national taskforce /committee to coordinate and implement national preparedness actions through technical subcommittees.
10,coord_multisec_collab,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.05 - Capacity for multi-sectoral collaboration for risk assessments and risk management is in place and functioning that enable exchange of information, expertise, and experience? (sectors shold include Laboratory staff from human and veterinary sectors, Entomologists, Public Health officials, Veterinary Officers,etc)",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,26,"2.05 - Capacity for multi-sectoral collaboration for risk assessments and risk management is in place and functioning that enable exchange of information, expertise, and experience? (sectors shold include Laboratory staff from human and veterinary sectors, Entomologists, Public Health officials, Veterinary Officers,etc)"
10,coord_multisec_collab,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.05 - Capacity for multi-sectoral collaboration for risk assessments and risk management is in place and functioning that enable exchange of information, expertise, and experience? (sectors shold include Laboratory staff from human and veterinary sectors, Entomologists, Public Health officials, Veterinary Officers,etc)",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,26,"2.05 - Capacity for multi-sectoral collaboration for risk assessments and risk management is in place and functioning that enable exchange of information, expertise, and experience? (sectors shold include Laboratory staff from human and veterinary sectors, Entomologists, Public Health officials, Veterinary Officers,etc)"
11,coord_subnat_taskforces,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.06 - Established multisectorial (human, animal, vectors) task forces at the subnational level",0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,29,"2.06 - Established multisectorial (human, animal, vectors) task forces at the subnational level"
11,coord_subnat_taskforces,English,02 - Coordination,02 - COORD,1,10,0.100000,1.666667,0.166667,02 - Coordination,"2.06 - Established multisectorial (human, animal, vectors) task forces at the subnational level",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,29,"2.06 - Established multisectorial (human, animal, vectors) task forces at the subnational level"
12,coord_nims_stakeholders_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,02 - Coordination:,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,32,Comments
12,coord_nims_stakeholders_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,Plan to revitalize the subcommittee on zoonotic diseases.,,02 - Coordination:Plan to revitalize the subcommittee on zoonotic diseases.,2024,1,ODK Server,Uganda,National,Uganda,English,data,32,Comments
13,plan_contingency_costed,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.02 - National Contingency Plan includes costed actions for preparedness, response and recovery.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,36,"3.02 - National Contingency Plan includes costed actions for preparedness, response and recovery."
13,plan_contingency_costed,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.02 - National Contingency Plan includes costed actions for preparedness, response and recovery.",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,36,"3.02 - National Contingency Plan includes costed actions for preparedness, response and recovery."
14,plan_funding_sources,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.03 - Identify funding sources, including allocation of domestic resources and mechanisms to raise additional resources if necessary, and ensure mechanisms for accessing funding sources are known.",0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,39,"3.03 - Identify funding sources, including allocation of domestic resources and mechanisms to raise additional resources if necessary, and ensure mechanisms for accessing funding sources are known."
14,plan_funding_sources,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.03 - Identify funding sources, including allocation of domestic resources and mechanisms to raise additional resources if necessary, and ensure mechanisms for accessing funding sources are known.",0,no,,2024,1,ODK Server,Uganda,National,Uganda,English,data,39,"3.03 - Identify funding sources, including allocation of domestic resources and mechanisms to raise additional resources if necessary, and ensure mechanisms for accessing funding sources are known."
15,plan_funds_transfer,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,3.04 - Identify the process to transfer money from central level to local emergency use.,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,42,3.04 - Identify the process to transfer money from central level to local emergency use.
15,plan_funds_transfer,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,3.04 - Identify the process to transfer money from central level to local emergency use.,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,42,3.04 - Identify the process to transfer money from central level to local emergency use.
16,plan_contingency_rvf,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,3.01 - National Contingency Plan for RVF developed and tested. (RVF Surveillance & Control Guidelines),1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,33,3.01 - National Contingency Plan for RVF developed and tested. (RVF Surveillance & Control Guidelines)
16,plan_contingency_rvf,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,3.01 - National Contingency Plan for RVF developed and tested. (RVF Surveillance & Control Guidelines),1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,33,3.01 - National Contingency Plan for RVF developed and tested. (RVF Surveillance & Control Guidelines)
17,plan_rvf_sop,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.05 - In RVF endemic countries, develop Standard Operating Procedures for RVF control. Control strategy should include (1) trans-sectoral coordination of prevention and control activities and resource mobilization (2) enhanced surveillance systems for human and animal case detection, (3) control of animal movements, (4) promotion of a social and behavioural interventions programme aimed at informing the public and promoting the adoption of pracices reducing community transmission, (5) clinical management of RVF cases in the affected areas in health care units and hospitals.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,45,"3.05 - In RVF endemic countries, develop Standard Operating Procedures for RVF control. Control strategy should include (1) trans-sectoral coordination of prevention and control activities and resource mobilization (2) enhanced surveillance systems for human and animal case detection, (3) control of animal movements, (4) promotion of a social and behavioural interventions programme aimed at informing the public and promoting the adoption of pracices reducing community transmission, (5) clinical management of RVF cases in the affected areas in health care units and hospitals."
17,plan_rvf_sop,English,03 - Planning and resources,03 - PLAN,1,10,0.100000,2.000000,0.200000,03 - Planning and resources,"3.05 - In RVF endemic countries, develop Standard Operating Procedures for RVF control. Control strategy should include (1) trans-sectoral coordination of prevention and control activities and resource mobilization (2) enhanced surveillance systems for human and animal case detection, (3) control of animal movements, (4) promotion of a social and behavioural interventions programme aimed at informing the public and promoting the adoption of pracices reducing community transmission, (5) clinical management of RVF cases in the affected areas in health care units and hospitals.",0,no,,2024,1,ODK Server,Uganda,National,Uganda,English,data,45,"3.05 - In RVF endemic countries, develop Standard Operating Procedures for RVF control. Control strategy should include (1) trans-sectoral coordination of prevention and control activities and resource mobilization (2) enhanced surveillance systems for human and animal case detection, (3) control of animal movements, (4) promotion of a social and behavioural interventions programme aimed at informing the public and promoting the adoption of pracices reducing community transmission, (5) clinical management of RVF cases in the affected areas in health care units and hospitals."
18,plan_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,03 - Planning and resources:,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,48,Comments
18,plan_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,03 - Planning and resources:,2024,1,ODK Server,Uganda,National,Uganda,English,data,48,Comments
19,epilab_case_def_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.01 - Develop national case definitions for human nd animal surveillance of RVF including at the health facility and community levels, and establish RVF as an immediately notifiable disease. (RVF Surveillance & Control Guidelines)",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,49,"4.01 - Develop national case definitions for human nd animal surveillance of RVF including at the health facility and community levels, and establish RVF as an immediately notifiable disease. (RVF Surveillance & Control Guidelines)"
19,epilab_case_def_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.01 - Develop national case definitions for human nd animal surveillance of RVF including at the health facility and community levels, and establish RVF as an immediately notifiable disease. (RVF Surveillance & Control Guidelines)",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,49,"4.01 - Develop national case definitions for human nd animal surveillance of RVF including at the health facility and community levels, and establish RVF as an immediately notifiable disease. (RVF Surveillance & Control Guidelines)"
20,epilab_surv_endemic_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.02 - In RVF endemic countries, establish surveillance for human and animal cases of RVF. (including capabililty for key communities’ players to recognize, report, clinical or suspected cases of RVF in animal (domestic and wildlife) and/or human cases)",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,52,"4.02 - In RVF endemic countries, establish surveillance for human and animal cases of RVF. (including capabililty for key communities’ players to recognize, report, clinical or suspected cases of RVF in animal (domestic and wildlife) and/or human cases)"
20,epilab_surv_endemic_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.02 - In RVF endemic countries, establish surveillance for human and animal cases of RVF. (including capabililty for key communities’ players to recognize, report, clinical or suspected cases of RVF in animal (domestic and wildlife) and/or human cases)",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,52,"4.02 - In RVF endemic countries, establish surveillance for human and animal cases of RVF. (including capabililty for key communities’ players to recognize, report, clinical or suspected cases of RVF in animal (domestic and wildlife) and/or human cases)"
21,epilab_case_train,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.03 - Provide specific training on the use of case definitions, how to identify suspected and probable cases on a clinical basis and contact tracing across all levels (including community human and animal health workers)",0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,55,"4.03 - Provide specific training on the use of case definitions, how to identify suspected and probable cases on a clinical basis and contact tracing across all levels (including community human and animal health workers)"
21,epilab_case_train,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.03 - Provide specific training on the use of case definitions, how to identify suspected and probable cases on a clinical basis and contact tracing across all levels (including community human and animal health workers)",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,55,"4.03 - Provide specific training on the use of case definitions, how to identify suspected and probable cases on a clinical basis and contact tracing across all levels (including community human and animal health workers)"
22,epilab_hotline_train,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.04 - If a public hotline is available, train staff on alert processes and requests for information related to RVF.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,58,"4.04 - If a public hotline is available, train staff on alert processes and requests for information related to RVF."
22,epilab_hotline_train,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.04 - If a public hotline is available, train staff on alert processes and requests for information related to RVF.",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,58,"4.04 - If a public hotline is available, train staff on alert processes and requests for information related to RVF."
23,epilab_data_flow,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.05 - Strengthen existing data and collection reporting system to ensure data flow is timely. Ensure regular, standardised sharing of data between all sectors (animal, human, vector).",0,no,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,61,"4.05 - Strengthen existing data and collection reporting system to ensure data flow is timely. Ensure regular, standardised sharing of data between all sectors (animal, human, vector)."
23,epilab_data_flow,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.05 - Strengthen existing data and collection reporting system to ensure data flow is timely. Ensure regular, standardised sharing of data between all sectors (animal, human, vector).",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,61,"4.05 - Strengthen existing data and collection reporting system to ensure data flow is timely. Ensure regular, standardised sharing of data between all sectors (animal, human, vector)."
24,epilab_lab_supplies_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.06 - Make available laboratory equipment (equipment for sample collection and transport) and supplies for RVF.,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,64,4.06 - Make available laboratory equipment (equipment for sample collection and transport) and supplies for RVF.
24,epilab_lab_supplies_rvf,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.06 - Make available laboratory equipment (equipment for sample collection and transport) and supplies for RVF.,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,64,4.06 - Make available laboratory equipment (equipment for sample collection and transport) and supplies for RVF.
25,epilab_ref_lab_nat,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.07 - Designate a national referral laboratory responsible for analysis or specimen handling of RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and facility levels.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,67,"4.07 - Designate a national referral laboratory responsible for analysis or specimen handling of RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and facility levels."
25,epilab_ref_lab_nat,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.07 - Designate a national referral laboratory responsible for analysis or specimen handling of RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and facility levels.",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,67,"4.07 - Designate a national referral laboratory responsible for analysis or specimen handling of RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and facility levels."
26,epilab_ref_lab_vet,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.08 - Designate a veterinary laboratory responsible for analysis or specimen handling of animal RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and community levels",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,70,"4.08 - Designate a veterinary laboratory responsible for analysis or specimen handling of animal RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and community levels"
26,epilab_ref_lab_vet,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.08 - Designate a veterinary laboratory responsible for analysis or specimen handling of animal RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and community levels",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,70,"4.08 - Designate a veterinary laboratory responsible for analysis or specimen handling of animal RVF specimens and ensure that referral and feedback procedures are known at national, sub-national and community levels"
27,epilab_lab_safety_ipc,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.09 - Ensure laboratory personnel are trained on safety procedures and IPC for specimen collection, packaging, labelling, referral & shipment.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,73,"4.09 - Ensure laboratory personnel are trained on safety procedures and IPC for specimen collection, packaging, labelling, referral & shipment."
27,epilab_lab_safety_ipc,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.09 - Ensure laboratory personnel are trained on safety procedures and IPC for specimen collection, packaging, labelling, referral & shipment.",1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,73,"4.09 - Ensure laboratory personnel are trained on safety procedures and IPC for specimen collection, packaging, labelling, referral & shipment."
28,epilab_standby_who_cc,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.01 - If required, establish stand-by arrangements and agreements with WHO Collaborating Centres for confirmatory testing of RVF and, if required, with relevant airline agreements to ship samples internationally.",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,76,"4.01 - If required, establish stand-by arrangements and agreements with WHO Collaborating Centres for confirmatory testing of RVF and, if required, with relevant airline agreements to ship samples internationally."
28,epilab_standby_who_cc,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,"4.01 - If required, establish stand-by arrangements and agreements with WHO Collaborating Centres for confirmatory testing of RVF and, if required, with relevant airline agreements to ship samples internationally.",0,no,,2024,1,ODK Server,Uganda,National,Uganda,English,data,76,"4.01 - If required, establish stand-by arrangements and agreements with WHO Collaborating Centres for confirmatory testing of RVF and, if required, with relevant airline agreements to ship samples internationally."
29,epilab_iata_cert_staff,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.11 - Ensure at least 3 staff are certified for shipment of hazardous and highly infectious biological materials (IATA certification).,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,79,4.11 - Ensure at least 3 staff are certified for shipment of hazardous and highly infectious biological materials (IATA certification).
29,epilab_iata_cert_staff,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.11 - Ensure at least 3 staff are certified for shipment of hazardous and highly infectious biological materials (IATA certification).,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,79,4.11 - Ensure at least 3 staff are certified for shipment of hazardous and highly infectious biological materials (IATA certification).
30,epilab_shipping_contacts,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.12 - Ensure that the contacts of shipping companies (for national and international shipping) and other service providers are up-to-date and valid.,1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,82,4.12 - Ensure that the contacts of shipping companies (for national and international shipping) and other service providers are up-to-date and valid.
30,epilab_shipping_contacts,English,04 - Epidemiological and laboratory surveillance,04 - EPILAB,1,10,0.100000,0.833333,0.083333,04 - Epidemiological and laboratory surveillance,4.12 - Ensure that the contacts of shipping companies (for national and international shipping) and other service providers are up-to-date and valid.,1,yes,,2024,1,ODK Server,Uganda,National,Uganda,English,data,82,4.12 - Ensure that the contacts of shipping companies (for national and international shipping) and other service providers are up-to-date and valid.
31,epilab_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,04 - Epidemiological and laboratory surveillance:,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,85,Comments
31,epilab_comment,English,Comment,Comment,0,0,0.000000,0.000000,0.000000,Comment,Comments,0,,04 - Epidemiological and laboratory surveillance:,2024,1,ODK Server,Uganda,National,Uganda,English,data,85,Comments
32,rrt_team_ready_24h,English,05 - Rapid Response,05 - RRT,1,10,0.100000,5.000000,0.500000,05 - Rapid Response,"5.01 - Team leader(s) and multidisciplinary members of national and regional RRTs assembled, equipped and ready to deploy within 24 hours of an alert. (RVF Surveillance & Control Guidelines)",1,yes,,2024,1,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,86,"5.01 - Team leader(s) and multidisciplinary members of national and regional RRTs assembled, equipped and ready to deploy within 24 hours of an alert. (RVF Surveillance & Control Guidelines)"
